 Country , Year , IMF based exchange rate , Population , Currency ,  Per capita GNI  ,  Exports of goods and services  ,  Final consumption expenditure  , Gross National Income(GNI) in USD ,  Gross Domestic Product (GDP)  
 Afghanistan ,1970,0.045USD,107.5M, Afghani , $0.2K , $1.66M , $1.66B ,$1.77B, $1.73B 
 Afghanistan ,1971,0.045USD,110.2M, Afghani , $0.2K , $1.94M , $1.80B ,$1.85B, $1.81B 
 Afghanistan ,1972,0.045USD,112.9M, Afghani , $0.1K , $2.28M , $1.61B ,$1.68B, $1.65B 
 Afghanistan ,1973,0.045USD,115.8M, Afghani , $0.2K , $2.27M , $1.62B ,$1.74B, $1.70B 
 Afghanistan ,1974,0.045USD,118.7M, Afghani , $0.2K , $2.85M , $1.91B ,$2.11B, $2.06B 
 Afghanistan ,1975,0.045USD,121.6M, Afghani , $0.2K , $3.00M , $2.13B ,$2.37B, $2.32B 
 Afghanistan ,1976,0.045USD,124.3M, Afghani , $0.2K , $3.29M , $2.23B ,$2.57B, $2.51B 
 Afghanistan ,1977,0.045USD,126.9M, Afghani , $0.2K , $3.43M , $2.58B ,$2.93B, $2.86B 
 Afghanistan ,1978,0.045USD,129.4M, Afghani , $0.3K , $3.55M , $2.88B ,$3.29B, $3.22B 
 Afghanistan ,1979,0.044USD,129.9M, Afghani , $0.3K , $4.24M , $3.24B ,$3.71B, $3.63B 
 Afghanistan ,1980,0.044USD,124.9M, Afghani , $0.3K , $4.22M , $3.27B ,$3.72B, $3.65B 
 Afghanistan ,1981,0.049USD,111.6M, Afghani , $0.3K , $3.91M , $3.07B ,$3.50B, $3.43B 
 Afghanistan ,1982,0.051USD,100.9M, Afghani , $0.3K , $3.96M , $3.07B ,$3.44B, $3.43B 
 Afghanistan ,1983,0.051USD,99.5M, Afghani , $0.3K , $3.92M , $3.05B ,$3.41B, $3.41B 
 Afghanistan ,1984,0.051USD,102.4M, Afghani , $0.3K , $3.87M , $3.01B ,$3.37B, $3.37B 
 Afghanistan ,1985,0.051USD,105.1M, Afghani , $0.3K , $3.84M , $2.98B ,$3.33B, $3.33B 
 Afghanistan ,1986,0.051USD,104.5M, Afghani , $0.3K , $3.82M , $2.97B ,$3.32B, $3.32B 
 Afghanistan ,1987,0.051USD,103.2M, Afghani , $0.3K , $3.43M , $2.67B ,$2.98B, $2.98B 
 Afghanistan ,1988,0.051USD,103.8M, Afghani , $0.3K , $3.12M , $2.43B ,$2.71B, $2.71B 
 Afghanistan ,1989,0.051USD,106.7M, Afghani , $0.3K , $3.67M , $2.86B ,$3.19B, $3.19B 
 Afghanistan ,1990,0.051USD,106.9M, Afghani , $0.3K , $4.10M , $3.19B ,$3.56B, $3.56B 
 Afghanistan ,1991,0.051USD,107.5M, Afghani , $0.3K , $4.52M , $3.14B ,$3.40B, $3.40B 
 Afghanistan ,1992,0.051USD,120.6M, Afghani , $0.3K , $5.39M , $3.32B ,$3.44B, $3.44B 
 Afghanistan ,1993,0.051USD,140.0M, Afghani , $0.2K , $5.07M , $2.84B ,$2.84B, $2.84B 
 Afghanistan ,1994,0.425USD,154.6M, Afghani , $0.1K , $3.55M , $1.79B ,$1.71B, $1.72B 
 Afghanistan ,1995,0.833USD,164.2M, Afghani , $0.2K , $6.31M , $2.98B ,$2.76B, $2.76B 
 Afghanistan ,1996,2.500USD,171.1M, Afghani , $0.2K , $6.73M , $2.99B ,$2.67B, $2.67B 
 Afghanistan ,1997,3.000USD,177.9M, Afghani , $0.2K , $7.98M , $3.38B ,$2.92B, $2.92B 
 Afghanistan ,1998,3.000USD,184.9M, Afghani , $0.2K , $8.66M , $3.50B ,$2.93B, $2.94B 
 Afghanistan ,1999,46.620USD,192.6M, Afghani , $0.1K , $6.97M , $2.67B ,$2.16B, $2.16B 
 Afghanistan ,2000,47.358USD,195.4M, Afghani , $0.2K , $11.45M , $4.24B ,$3.34B, $3.34B 
 Afghanistan ,2001,47.500USD,196.9M, Afghani , $0.2K , $12.21M , $4.61B ,$3.60B, $3.60B 
 Afghanistan ,2002,47.263USD,210.0M, Afghani , $0.2K , $12.61M , $5.00B ,$4.13B, $4.14B 
 Afghanistan ,2003,48.763USD,226.5M, Afghani , $0.2K , $19.49M , $6.27B ,$4.72B, $4.73B 
 Afghanistan ,2004,47.845USD,235.5M, Afghani , $0.2K , $20.26M , $7.11B ,$5.40B, $5.39B 
 Afghanistan ,2005,49.495USD,244.1M, Afghani , $0.3K , $20.51M , $7.93B ,$6.23B, $6.22B 
 Afghanistan ,2006,49.925USD,254.4M, Afghani , $0.3K , $23.33M , $8.71B ,$7.15B, $7.10B 
 Afghanistan ,2007,49.962USD,259.0M, Afghani , $0.4K , $24.01M , $11.41B ,$9.44B, $9.41B 
 Afghanistan ,2008,50.250USD,264.3M, Afghani , $0.4K , $26.32M , $12.73B ,$10.28B, $10.24B 
 Afghanistan ,2009,50.325USD,273.9M, Afghani , $0.4K , $27.62M , $13.37B ,$11.56B, $11.60B 
 Afghanistan ,2010,46.452USD,281.9M, Afghani , $0.5K , $26.86M , $16.99B ,$14.72B, $14.70B 
 Afghanistan ,2011,46.747USD,292.5M, Afghani , $0.6K , $20.96M , $19.09B ,$17.33B, $17.35B 
 Afghanistan ,2012,50.921USD,304.7M, Afghani , $0.6K , $20.55M , $19.71B ,$19.17B, $19.14B 
 Afghanistan ,2013,55.378USD,315.4M, Afghani , $0.6K , $24.55M , $19.44B ,$19.69B, $19.62B 
 Afghanistan ,2014,57.248USD,327.2M, Afghani , $0.6K , $27.72M , $19.40B ,$19.55B, $19.55B 
 Afghanistan ,2015,61.143USD,337.5M, Afghani , $0.6K , $30.37M , $19.13B ,$18.88B, $18.71B 
 Afghanistan ,2016,67.866USD,346.4M, Afghani , $0.5K , $30.03M , $18.59B ,$18.20B, $18.02B 
